Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of inflammatory response (GO:0050728)	16/212	2.637668e-04	2.700972e-02	0	0	2.949037e+00	2.430138e+01	GGT5;NR1H3;CD3G;IL4;GHRHR;HCK;ADCY9;MAPK7;LPCAT3;APOE;CD247;TEK;PRKACA;GGT1;PRKACB;PPARD
GO_Biological_Process_2021	response to lipid (GO:0033993)	11/114	3.029002e-04	2.993109e-02	0	0	3.840690e+00	3.111768e+01	GGT5;FER;RARG;SRR;TMEM161A;STAT3;LGALS9;SOX9;GGT1;FGFR4;PPARD
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	53/1183	3.117822e-04	2.993109e-02	0	0	1.732467e+00	1.398656e+01	ACVRL1;RARG;SPI1;CRTC1;AKAP8L;FOXM1;SHH;TRIM28;CDH1;RPS6KA1;AKT1;IKBKG;SOX9;NCOA2;MAP2K1;POU1F1;PEG3;TFE3;DYRK1B;GTF2F1;MED25;PRPF6;RFX5;TFAM;PPARD;UHRF1;KMT2B;PDGFB;NR2C2;BCL2L12;SEC14L2;MAPK7;DVL3;INPP5K;STAT6;BRD8;APOE;OTX1;MAP2K7;MEF2D;WWOX;ZBTB17;BRPF1;JUP;STAT3;FOXJ2;NR1H3;GLMP;COL1A1;IL4;MLXIPL;KLF6;LHX2
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	16/216	3.253689e-04	3.028889e-02	0	0	2.889456e+00	2.320392e+01	DDR1;ITGA3;NCAN;ITGB2;PDGFB;NID1;COL1A1;ADAMTS4;BCAN;MMP14;CDH1;COL5A3;COL6A1;ITGB7;ITGA5;CD44
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	16/217	3.425816e-04	3.095326e-02	0	0	2.874931e+00	2.293908e+01	DDR1;ITGA3;NCAN;ITGB2;PDGFB;NID1;COL1A1;ADAMTS4;BCAN;MMP14;CDH1;COL5A3;COL6A1;ITGB7;ITGA5;CD44
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	27/482	4.001659e-04	3.419945e-02	0	0	2.159454e+00	1.689477e+01	CDKN1B;ITGB2;EBI3;CRKL;SMPD4;TPR;CCL3;AKT1;HMOX1;INPP5K;STAT6;TIMP1;LGALS9;SOX9;PRKACA;IL12RB1;STAT5A;CCL24;STAT3;GAB2;IL4;HCK;FER;LCK;AXL;SHPK;PTPN6
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	24/408	4.147916e-04	3.419945e-02	0	0	2.269881e+00	1.767723e+01	ACVRL1;CCL24;TBCCD1;INSR;STAT3;PDGFB;SEMA4F;RHOC;CORO1C;COL1A1;IL4;SHH;MMP14;FER;MIEN1;SMO;APC;CDH1;SST;AKT2;ADORA3;GNA12;CCL3;AKT1
GO_Biological_Process_2021	wound healing, spreading of cells (GO:0044319)	5/24	4.219650e-04	3.419945e-02	0	0	9.400155e+00	7.304473e+01	ACVRL1;DDR1;ITGA5;RHOC;CD44
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	13/158	4.294921e-04	3.419945e-02	0	0	3.229259e+00	2.503614e+01	ACVRL1;WWOX;PDGFB;HSPB1;ACVR1B;CRKL;MAPK7;HAS1;AKT1;INPP5K;SOX9;EMD;CD44
GO_Biological_Process_2021	positive regulation of cell death (GO:0010942)	8/66	4.341727e-04	3.419945e-02	0	0	4.944356e+00	3.827954e+01	RARG;DAXX;CDKN1B;APC;CELF1;ITGB2;AXIN2;PRODH
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	28/511	4.464590e-04	3.428805e-02	0	0	2.110545e+00	1.628109e+01	ACVRL1;KMT2B;PDGFB;FOXM1;SEC14L2;SHH;TRIM28;CDH1;RPS6KA1;AKT1;DVL3;INPP5K;SOX9;APOE;MAP2K7;MAP2K1;BRPF1;STAT3;TFE3;NR1H3;DYRK1B;COL1A1;IL4;MLXIPL;KLF6;LHX2;TFAM;PPARD
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	18/269	4.865461e-04	3.578934e-02	0	0	2.593018e+00	1.978000e+01	CCL24;INSR;STAT3;PDGFB;SEMA4F;RHOC;ACVR1B;CRKL;COL1A1;IL4;MMP14;FER;MIEN1;SMO;APC;AKT2;CCL3;SOX9
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	12/140	4.893073e-04	3.578934e-02	0	0	3.373429e+00	2.571403e+01	DDR1;HCK;FER;LCK;AXL;INSR;TNK1;LCP2;TEK;FGFR4;ACVR1B;EPHB3
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	32/621	5.223926e-04	3.732070e-02	0	0	1.982129e+00	1.497913e+01	SPI1;CDKN1B;ITGB2;CTR9;EBI3;PDGFB;CRKL;CNN2;CCL3;AKT1;HMOX1;TRIM25;STAT6;TIMP1;IKBKG;PRKACA;IL12RB1;STAT5A;CCL24;MX1;STAT3;GAB2;IL17RA;IL4;HCK;FER;LCK;CDIP1;PTPN6;IL7R;CD44;IRF9
GO_Biological_Process_2021	positive regulation of histone methylation (GO:0031062)	5/26	6.241336e-04	4.357587e-02	0	0	8.504027e+00	6.275245e+01	DNMT1;CHTOP;PAXIP1;CTR9;PAF1
GO_Biological_Process_2021	mRNA processing (GO:0006397)	19/300	6.727746e-04	4.499691e-02	0	0	2.445646e+00	1.786324e+01	SF3A1;CHTOP;CELF1;AKAP8L;DDX23;PRCC;CWC15;GTF2F1;CRNKL1;ESS2;TBRG4;PRPF6;ZMAT2;POLR2A;SNRPD1;SNRNP27;PRKACA;SNRNP200;BCAS2
GO_Biological_Process_2021	cellular response to peptide hormone stimulus (GO:0071375)	10/106	6.737818e-04	4.499691e-02	0	0	3.740530e+00	2.731561e+01	FER;ADCY9;INSIG2;AKT2;INSR;AKT1;INPP5K;PRKACA;PRKACB;HDAC9
GO_Biological_Process_2021	regulation of blood vessel endothelial cell migration (GO:0043535)	7/55	7.325610e-04	4.706599e-02	0	0	5.220672e+00	3.768784e+01	ACVRL1;STAT5A;JUP;PDGFB;HSPB1;AKT1;APOE
GO_Biological_Process_2021	negative regulation of catalytic activity (GO:0043086)	5/27	7.488546e-04	4.706599e-02	0	0	8.117062e+00	5.841822e+01	OXA1L;TMBIM1;NOSIP;TIMP1;NES
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	46/1025	7.507271e-04	4.706599e-02	0	0	1.725524e+00	1.241423e+01	ACVRL1;PRKCSH;MAST2;PDGFB;KEAP1;CD3G;ACVR1B;LTBP1;GOLGA2;LIPE;PPP1CC;STK11;GRK5;AKT2;MAP3K20;AKT1;STK38L;ST8SIA6;TIMP1;APOE;PRKACA;LARGE1;PRKACB;MAP2K1;INSR;TNK1;MATK;DYRK1B;BTBD6;EIF2AK4;CP;SRPK1;HCK;PPP5C;FER;LCK;CCNE1;PKN2;PTPN6;MAN2B1;CDK12;CD247;MAP3K11;METAP1;CSNK1G2;UBE2M
GO_Biological_Process_2021	regulation of leukocyte activation (GO:0002694)	4/16	7.857574e-04	4.827694e-02	0	0	1.188930e+01	8.499495e+01	LCK;SHPK;MYO18A;CD33
GO_Biological_Process_2021	response to growth factor (GO:0070848)	6/41	8.269008e-04	4.980861e-02	0	0	6.129755e+00	4.350794e+01	ACVRL1;MAPK7;PDGFB;AKT1;ACVR1B;EMD
GO_Biological_Process_2021	L-amino acid transport (GO:0015807)	5/28	8.912786e-04	5.225703e-02	0	0	7.763747e+00	5.452366e+01	SLC25A18;SLC1A2;SLC1A3;CTNS;SLC1A6
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	43/948	9.015698e-04	5.225703e-02	0	0	1.741485e+00	1.221020e+01	RARG;SPI1;CDKN1B;TCF25;UHRF1;CTR9;PDGFB;ATN1;LOXL3;FOXM1;NR2C2;NPAS1;HDAC9;NR2C1;IKZF4;UXT;SHH;MNT;TRIM28;NACC1;SCMH1;TPR;INPP5K;SOX9;CIC;SNX6;PIAS4;WWOX;DAXX;PEG3;STAT3;NR1H3;CBFA2T3;NR2F6;IL4;MLXIPL;MED25;DNAJA3;BCL6B;FOSB;PAF1;MXD1;PPARD
GO_Biological_Process_2021	negative regulation of macromolecule metabolic process (GO:0010605)	14/194	9.722795e-04	5.531190e-02	0	0	2.801599e+00	1.943152e+01	ACVRL1;MAP2K1;DNMT1;SPI1;ANKRD13D;CELF1;PDGFB;LRP3;CRKL;SMO;DGKQ;CCL3;LGALS9;APOE
GO_Biological_Process_2021	regulation of cholesterol biosynthetic process (GO:0045540)	4/17	1.005371e-03	5.615456e-02	0	0	1.097417e+01	7.574810e+01	SEC14L2;LPCAT3;APOE;KPNB1
GO_Biological_Process_2021	dicarboxylic acid transport (GO:0006835)	5/29	1.052914e-03	5.775986e-02	0	0	7.439874e+00	5.100922e+01	SLC25A18;SLC1A2;SLC1A3;SLC1A6;SLC19A1
GO_Biological_Process_2021	positive regulation of growth (GO:0045927)	8/76	1.122630e-03	5.894330e-02	0	0	4.215070e+00	2.862910e+01	MMP14;BRAT1;INSR;RPS6KA1;HPN;AKT1;HDGFL2;EIF4G2
GO_Biological_Process_2021	regulation of protein phosphorylation (GO:0001932)	17/266	1.147233e-03	5.894330e-02	0	0	2.464248e+00	1.668395e+01	DAXX;INSR;BRAT1;AKAP8L;ITGB2;HSPB1;AXIN2;CRKL;CORO1C;MOB1B;FER;AKT2;AKT1;INPP5K;DVL3;SOX9;TEK
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	15/221	1.212536e-03	5.894330e-02	0	0	2.624223e+00	1.762176e+01	CCL24;INSR;STAT3;PDGFB;SEMA4F;RHOC;COL1A1;IL4;MMP14;FER;MIEN1;SMO;APC;AKT2;CCL3
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	16/244	1.214342e-03	5.894330e-02	0	0	2.530924e+00	1.699149e+01	SYT5;CACNA1B;SLC1A2;SLC1A3;SLC1A6;GRM3;CACNB3;SST;RPS6KA1;KCNN1;UNC119;DLGAP1;PRKACA;CALM1;PRKACB;GRIA3
GO_Biological_Process_2021	import into nucleus (GO:0051170)	8/77	1.223292e-03	5.894330e-02	0	0	4.153768e+00	2.785604e+01	SNRPD1;CSE1L;TPR;STAT3;AKT1;TSC2;IPO4;KPNB1
GO_Biological_Process_2021	acidic amino acid transport (GO:0015800)	4/18	1.264773e-03	5.894330e-02	0	0	1.018978e+01	6.799499e+01	SLC25A18;SLC1A2;SLC1A3;SLC1A6
GO_Biological_Process_2021	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	4/18	1.264773e-03	5.894330e-02	0	0	1.018978e+01	6.799499e+01	MAPK7;UBQLN1;HSPB1;AKT1
GO_Biological_Process_2021	interleukin-6-mediated signaling pathway (GO:0070102)	4/18	1.264773e-03	5.894330e-02	0	0	1.018978e+01	6.799499e+01	FER;SPI1;CTR9;STAT3
GO_Biological_Process_2021	positive regulation of fatty acid metabolic process (GO:0045923)	4/18	1.264773e-03	5.894330e-02	0	0	1.018978e+01	6.799499e+01	MLXIPL;APOC2;NR1H3;PPARD
GO_Biological_Process_2021	peptidyl-serine phosphorylation (GO:0018105)	12/156	1.272631e-03	5.894330e-02	0	0	2.996120e+00	1.997414e+01	PNCK;AKT2;DGKQ;MAST2;RPS6KA1;PDGFB;AKT1;DYRK1B;STK38L;PKN2;PRKACA;CSNK1G2
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	41/908	1.285547e-03	5.894330e-02	0	0	1.729977e+00	1.151571e+01	ACVRL1;RARG;SPI1;PAXIP1;UHRF1;CRTC1;AKAP8L;PDGFB;FOXM1;NR2C2;BCL2L12;SHH;MAPK7;RPS6KA1;DVL3;STAT6;IKBKG;BRD8;SOX9;OTX1;MEF2D;WWOX;ZBTB17;NCOA2;POU1F1;JUP;PEG3;STAT3;TFE3;FOXJ2;NR1H3;GLMP;GTF2F1;IL4;MLXIPL;MED25;KLF6;PRPF6;RFX5;CDK12;PPARD
GO_Biological_Process_2021	receptor signaling pathway via JAK-STAT (GO:0007259)	5/31	1.440022e-03	6.505510e-02	0	0	6.866869e+00	4.493059e+01	STAT5A;FER;CTR9;STAT3;STAT6
GO_Biological_Process_2021	stress-activated MAPK cascade (GO:0051403)	7/62	1.505792e-03	6.639734e-02	0	0	4.554579e+00	2.959764e+01	MAP3K20;CCM2;IKBKG;LGALS9;MAP2K7;MAP3K11;CRKL
GO_Biological_Process_2021	regulation of sterol biosynthetic process (GO:0106118)	3/9	1.527060e-03	6.639734e-02	0	0	1.780678e+01	1.154665e+02	SEC14L2;LPCAT3;KPNB1
GO_Biological_Process_2021	positive regulation of smooth muscle cell proliferation (GO:0048661)	6/46	1.534574e-03	6.639734e-02	0	0	5.362155e+00	3.474409e+01	DNMT1;PDGFB;FOXJ2;AKT1;HMOX1;MEF2D
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	17/274	1.578591e-03	6.735322e-02	0	0	2.386545e+00	1.539613e+01	SRPK3;SF3A1;DDX23;PRCC;CWC15;GTF2F1;CRNKL1;ESS2;WDR77;SRPK1;PRPF6;ZMAT2;POLR2A;SNRPD1;SNRNP27;SNRNP200;BCAS2
GO_Biological_Process_2021	positive regulation of viral process (GO:0048524)	7/63	1.654697e-03	6.963329e-02	0	0	4.473017e+00	2.864581e+01	POLR2A;AXL;KPNA6;PKN2;TMEM39A;GTF2F1;SRPK1
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	16/253	1.763910e-03	7.322609e-02	0	0	2.433673e+00	1.543003e+01	DDR1;DAXX;INSR;BRAT1;AXIN2;CRKL;MLXIPL;KCTD20;AXL;AKT2;AKT1;DVL3;SOX9;TEK;FGFR4;EPHB3
GO_Biological_Process_2021	apoptotic process (GO:0006915)	15/231	1.876530e-03	7.576269e-02	0	0	2.501431e+00	1.570481e+01	BRAT1;ITGB2;MX1;ATN1;TSC2;HK2;TCHP;STK11;FAM162A;AKT1;CDIP1;IKBKG;RAF1;PPARD;MCM2
GO_Biological_Process_2021	MAPK cascade (GO:0000165)	18/303	1.887449e-03	7.576269e-02	0	0	2.279631e+00	1.429905e+01	MAP2K1;PDGFB;PPP1CC;PPP5C;DLG3;RASA4;ABHD17A;MAP3K20;CCL3;CCM2;LGALS9;SOX9;IKBKG;TEK;CALM1;RAF1;MAP2K7;FGFR4
GO_Biological_Process_2021	positive regulation of blood vessel endothelial cell migration (GO:0043536)	6/48	1.919799e-03	7.576269e-02	0	0	5.106288e+00	3.194256e+01	STAT5A;PDGFB;HSPB1;AKT1;HMOX1;HDAC9
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	25/485	2.054613e-03	7.576269e-02	0	0	1.969694e+00	1.218781e+01	CSTB;RAB5B;ITGB2;STXBP2;SLC2A3;TCIRG1;CFP;AP2A2;CNN2;NCSTN;GM2A;ADGRE5;PSAP;CD33;AP1M1;JUP;AMPD3;IMPDH1;DNAJC5;TMBIM1;PTPN6;MAN2B1;DNASE1;KPNB1;CD44
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	28/566	2.077679e-03	7.576269e-02	0	0	1.889289e+00	1.166920e+01	ACVRL1;RARG;CDKN1B;CELF1;CHD5;FOXM1;ACVR1B;TCHP;SHH;STK11;MNT;ADORA3;UTP20;CD33;ZBTB17;MAP2K1;POU1F1;NR1H3;TSC2;AXIN2;CBFA2T3;APC;DLG3;SST;LPCAT3;DNAJA3;PTPN6;RAF1
GO_Biological_Process_2021	cellular response to organic substance (GO:0071310)	10/123	2.100571e-03	7.576269e-02	0	0	3.175005e+00	1.957564e+01	ACVRL1;NCOA2;MAPK7;STAT3;PDGFB;CCL3;INPP5K;PTPN6;ACVR1B;EMD
GO_Biological_Process_2021	regulation of high voltage-gated calcium channel activity (GO:1901841)	3/10	2.137212e-03	7.576269e-02	0	0	1.526217e+01	9.383566e+01	CACNB3;SRI;CALM1
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	3/10	2.137212e-03	7.576269e-02	0	0	1.526217e+01	9.383566e+01	APOC2;LPCAT3;APOE
GO_Biological_Process_2021	DNA replication-dependent nucleosome assembly (GO:0006335)	3/10	2.137212e-03	7.576269e-02	0	0	1.526217e+01	9.383566e+01	CHAF1A;IPO4;ASF1B
GO_Biological_Process_2021	DNA replication-dependent nucleosome organization (GO:0034723)	3/10	2.137212e-03	7.576269e-02	0	0	1.526217e+01	9.383566e+01	CHAF1A;IPO4;ASF1B
GO_Biological_Process_2021	negative regulation of transmembrane transport (GO:0034763)	3/10	2.137212e-03	7.576269e-02	0	0	1.526217e+01	9.383566e+01	AKT2;AKT1;INPP5K
GO_Biological_Process_2021	peptidyl-amino acid modification (GO:0018193)	3/10	2.137212e-03	7.576269e-02	0	0	1.526217e+01	9.383566e+01	FKBP10;FKBP7;METAP1
GO_Biological_Process_2021	response to insulin (GO:0032868)	8/84	2.145623e-03	7.576269e-02	0	0	3.769822e+00	2.316301e+01	GHRHR;FER;INSIG2;AKT2;INSR;AKT1;INPP5K;HDAC9
GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	21/384	2.277059e-03	7.949005e-02	0	0	2.091410e+00	1.272596e+01	MAP2K1;DNMT1;CELF1;INSR;HPN;STAT3;PDGFB;LRP3;SNF8;IL4;MAPK7;TRIM28;SMO;DGKQ;CCL3;AKT1;LGALS9;SOX9;FAM98A;FGFR4;WNT3
GO_Biological_Process_2021	positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	4/21	2.317580e-03	7.999555e-02	0	0	8.390286e+00	5.090581e+01	DNMT1;FOXJ2;PDGFB;MEF2D
GO_Biological_Process_2021	anion transmembrane transport (GO:0098656)	7/67	2.367968e-03	8.082664e-02	0	0	4.173954e+00	2.523457e+01	SLC25A1;SLC25A18;SLC1A2;SLC1A3;SLC25A42;SLC1A6;SLC19A1
GO_Biological_Process_2021	positive regulation of cellular metabolic process (GO:0031325)	9/105	2.413511e-03	8.147588e-02	0	0	3.360243e+00	2.025109e+01	IL4;UHRF1;INSR;HPN;PDGFB;AKT1;NR1H3;APOE;PPARD
